titulos_noticias,links_noticias,comentarios_noticias,fecha_publicación,tag
China tiene una tecnología clave para crear un escudo antimisiles más eficaz que la Cúpula de Hierro: un escarabajo ,https://www.xataka.com/investigacion/china-tiene-tecnologia-clave-para-crear-escudo-antimisiles-eficaz-que-cupula-hierro-escarabajo,7,2025-07-18,ciencia-y-tecnologia
China tiene un nuevo juguete: un imán que genera un campo magnético 800.000 veces más fuerte que el de la Tierra ,https://www.xataka.com/investigacion/china-tiene-nuevo-juguete-iman-que-genera-campo-magnetico-800-000-veces-fuerte-que-tierra,6,2024-11-17,ciencia-y-tecnologia
Acabamos de encontrar el nuevo número primo más grande del mundo. Eso es tan difícil que hemos tardado seis años en lograrlo ,https://www.xataka.com/investigacion/acabamos-encontrar-nuevo-numero-primo-grande-mundo-eso-dificil-que-hemos-tardado-seis-anos-lograrlo,13,2024-10-22,ciencia-y-tecnologia
Unos investigadores querían un soporte capaz de guardar datos por miles de años. La solución: una memoria 5D de cuarzo,https://www.xataka.com/investigacion/unos-investigadores-querian-soporte-capaz-guardar-datos-miles-anos-solucion-memoria-5d-cuarzo,2,2024-09-24,ciencia-y-tecnologia
Un laboratorio descubre por accidente un condensador capaz de almacenar 19 veces más energía que los actuales,https://www.xataka.com/energia/equipo-coreano-ha-descubierto-accidente-condensador-capaz-almacenar-19-veces-energia-que-actuales,20,2024-05-10,ciencia-y-tecnologia
Novo Nordisk aterriza en España. Es un síntoma de algo más: el país se está convirtiendo en un hub tecnológico,https://www.xataka.com/empresas-y-economia/novo-nordisk-aterriza-espana-sintoma-algo-pais-se-esta-convirtiendo-hub-tecnologico,9,2023-09-20,ciencia-y-tecnologia
Elon Musk puso en órbita su coche hace cinco años. Tratando de averiguar qué fue de él desde entonces,https://www.xataka.com/magnet/elon-musk-puso-orbita-su-coche-hace-cinco-anos-tratando-averiguar-que-fue-entonces,6,2023-08-25,ciencia-y-tecnologia
"""As an AI language model..."": la academia se ha llenado de investigaciones sobre la IA escritas por la IA ",https://www.xataka.com/robotica-e-ia/as-an-ai-language-model-academia-se-ha-llenado-investigaciones-ia-escritas-ia,4,2023-08-11,ciencia-y-tecnologia
Se ofrece trabajo de investigador en Castilla y León. Requisitos: ser premio Nobel,https://www.xataka.com/investigacion/se-ofrece-trabajo-investigador-castilla-leon-requisitos-ser-premio-nobel,12,2023-05-31,ciencia-y-tecnologia
Intel prepara su propio ChatGPT para el ámbito científico. Uno con un trillón de parámetros ,https://www.xataka.com/robotica-e-ia/intel-prepara-su-propio-chatgpt-para-ambito-cientifico-uno-trillon-parametros,10,2023-05-23,ciencia-y-tecnologia
La nueva ley de ciencia mexicana no es una ley más: es una batalla clave en la gran guerra por la ciencia moderna,https://www.xataka.com/investigacion/nueva-ley-ciencia-mexicana-no-ley-batalla-clave-gran-guerra-ciencia-moderna,31,2023-05-09,ciencia-y-tecnologia
La revisión por pares es uno de los pilares de la ciencia. Ahora hay quien propone cambiarlo de arriba a abajo,https://www.xataka.com/investigacion/revision-pares-uno-pilares-ciencia-ahora-hay-quien-propone-cambiarlo-arriba-a-abajo,14,2022-11-12,ciencia-y-tecnologia
